Team Names	Score
Dartmouth	63.6
Mt St Marys	63.5
Manhattan	63.3
Incar Word	63.2
UC Riverside	63.1
NJIT	63.1
California	62.9
Navy	62.9
Loyola Mymt	62.8
Idaho	62.7
Texas A&M	62.6
Stetson	62.5
S Florida	62.5
LA Monroe	62.5
S Illinois	62.3
Alab A&M	62.2
Central Conn	61.8
Sac State	61.7
Alabama St	61.6
Merrimack	61.3
E Michigan	61.2
Marist	60.8
Wyoming	60.6
Fla Gulf Cst	60.2
Maine	60.0
Fairfield	59.0
Chicago St	58.1
Virginia	57.6
Fordham	57.4
Maryland ES	55.9
Kennesaw St	55.2
Ark Pine Bl	52.6
